context,question,answer,exact_answer,type
"Hirschsprung disease (HSCR) is a multifactorial, non-mendelian disorder in which rare high-penetrance coding sequence mutations in the receptor tyrosine kinase RET contribute to risk in combination with mutations at other genes
In this study, we review the identification of genes and loci involved in the non-syndromic common form and syndromic Mendelian forms of Hirschsprung's disease. The majority of the identified genes are related to Mendelian syndromic forms of Hirschsprung's disease. The non-Mendelian inheritance of sporadic non-syndromic Hirschsprung's disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model
Coding sequence mutations in e.g. RET, GDNF, EDNRB, EDN3, and SOX10 lead to long-segment (L-HSCR) as well as syndromic HSCR but fail to explain the transmission of the much more common short-segment form (S-HSCR). Furthermore, mutations in the RET gene are responsible for approximately half of the familial and some sporadic cases, strongly suggesting, on the one hand, the importance of non-coding variations and, on the other hand, that additional genes involved in the development of the enteric nervous system still await their discovery
For almost all of the identified HSCR genes incomplete penetrance of the HSCR phenotype has been reported, probably due to modifier loci. Therefore, HSCR has become a model for a complex oligo-/polygenic disorder in which the relationship between different genes creating a non-mendelian inheritance pattern still remains to be elucidated
Hirschsprung disease (HSCR) is a multifactorial, non-mendelian disorder in which rare high-penetrance coding sequence mutations in the receptor tyrosine kinase RET contribute to risk in combination with mutations at other genes.
The inheritance of Hirschsprung disease is generally consistent with sex-modified multifactorial inheritance with a lower threshold of expression in males.
Hirschsprung disease (HSCR) is a multifactorial, non-mendelian disorder in which rare high-penetrance coding sequence mutations in the receptor tyrosine kinase RET contribute to risk in combination with mutations at other genes.
Differential contributions of rare and common, coding and noncoding Ret mutations to multifactorial Hirschsprung disease liability.
BACKGROUND: RET is the major gene associated to Hirschsprung disease (HSCR) with differential contributions of its rare and common, coding and noncoding mutations to the multifactorial nature of this pathology.
In the etiology of Hirschsprung disease various genes play a role; these are: RET, EDNRB, GDNF, EDN3 and SOX10, NTN3, ECE1, Mutations in these genes may result in dominant, recessive or multifactorial patterns of inheritance.
Chromosomal and related Mendelian syndromes associated with Hirschsprung's disease.
The majority of the identified genes are related to Mendelian syndromic forms of Hirschsprung's disease
In the etiology of Hirschsprung disease various genes play a role; these are: RET, EDNRB, GDNF, EDN3 and SOX10, NTN3, ECE1, Mutations in these genes may result in dominant, recessive or multifactorial patterns of inheritance
On the basis of a skewed sex-ratio (M/F = 4/1) and a risk to relatives much higher than the incidence in the general population, HSCR has long been regarded as a sex-modified multifactorial disorder
The inheritance of Hirschsprung disease is generally consistent with sex-modified multifactorial inheritance with a lower threshold of expression in males
The non-Mendelian inheritance of sporadic non-syndromic Hirschsprung's disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model
",Is Hirschsprung disease a mendelian or a multifactorial disorder?,"Coding sequence mutations in RET, GDNF, EDNRB, EDN3, and SOX10 are involved in the development of Hirschsprung disease. The majority of these genes was shown to be related to Mendelian syndromic forms of Hirschsprung's disease, whereas the non-Mendelian inheritance of sporadic non-syndromic Hirschsprung disease proved to be complex; involvement of multiple loci was demonstrated in a multiplicative model.",,summary
"the epidermal growth factor receptor (EGFR) ligands, such as epidermal growth factor (EGF) and amphiregulin (AREG)
EGFR ligands epidermal growth factor (EGF), amphiregulin (AREG) and transforming growth factor alpha (TGFα)
EGFR and its ligand EGF
Among EGFR ligands, heparin-binding EGF-like growth factor, TGF-α and Betacellulin (BTC) are produced in the tumor microenvironment of FDC-S at RNA level.
. Plasma amphiregulin (AR), epidermal growth factor (EGF), transforming growth factor-α, and heparin binding-EGF were assessed by ELISA in 45 chemorefractory mCRC patients
Among EGFR ligands, heparin-binding epidermal growth factor (HB-EGF)
Of the six known EGFR ligands, transforming growth factor alpha (TGFα) was expressed more highly in triple-negative breast tumors than in tumors of other subtypes.
the 7 known EGFR ligands (EGF, betacellulin, epiregulin, heparin-binding EGF, transforming growth factor-α [TGF-α], amphiregulin, and epigen)
EGFR ligands based on the two affinity classes: EGF>HB-EGF>TGF-α>BTC>EPR>EPG>AR
In this article, however, we demonstrate that PEPD directly binds to and activates epidermal growth factor receptor (EGFR),
four EGFR ligands (AR, HB-EGF, TGF-α, and EREG)
Epidermal growth factor (EGF) family peptides are ligands for the EGF receptor (EGFR).
oluble amphiregulin (AR), transforming growth factor alpha (TGFα), neuregulin 2 beta, and epigen stimulate greater EGFR coupling to cell proliferation and DNA synthesis than do EGF, betacellulin, heparin-binding EGF-like growth factor, and epiregulin
Here, we demonstrate that histamine releases 2 EGFR ligands, amphiregulin and heparin-binding epidermal growth factor-like growth factor (HB-EGF), from airway epithelial cells.
mammalian EGFR ligands including EGF, TGF-α (TGFα), amphiregulin (AREG), heparin-binding EGF-like growth factor (HB-EGF), betacellulin, epiregulin, and epigen.
",List signaling molecules (ligands) that interact with the receptor EGFR?,"The 7 known EGFR ligands  are: epidermal growth factor (EGF), betacellulin (BTC), epiregulin (EPR), heparin-binding EGF (HB-EGF), transforming growth factor-α [TGF-α], amphiregulin (AREG) and epigen (EPG).",epidermal growth factor | betacellulin | epiregulin | heparin-binding epidermal growth factor | transforming growth factor-α | amphiregulin | epigen,list
"Using expression analysis, we identify three genes that are transcriptionally regulated by HLH-2: the protocadherin cdh-3, and two genes encoding secreted extracellular matrix proteins, mig-6/papilin and him-4/hemicentin.
We found that mig-6 encodes long (MIG-6L) and short (MIG-6S) isoforms of the extracellular matrix protein papilin, each required for distinct aspects of DTC migration. Both MIG-6 isoforms have a predicted N-terminal papilin cassette
apilins are homologous, secreted extracellular matrix proteins which share a common order of protein domains.
The TSR superfamily is a diverse family of extracellular matrix and transmembrane proteins, many of which have functions related to regulating matrix organization, cell-cell interactions and cell guidance. This review samples some of the contemporary literature regarding TSR superfamily members (e.g. F-spondin, UNC-5, ADAMTS, papilin, and TRAP) where specific functions are assigned to the TSR domains.
Papilins are extracellular matrix proteins
Papilin is an extracellular matrix glycoprotein
Collagen IV, laminin, glutactin, papilin, and other extracellular matrix proteins were made primarily by hemocytes and were secreted into the medium.
A sulfated glycoprotein was isolated from the culture media of Drosophila Kc cells and named papilin.
",Is the protein Papilin secreted?,"Yes,  papilin is a secreted protein",yes,yesno
"Our analyses indicate that lncRNAs are generated through pathways similar to that of protein-coding genes, with similar histone-modification profiles, splicing signals, and exon/intron lengths.
For alternative exons and long noncoding RNAs, splicing tends to occur later, and the latter might remain unspliced in some cases.
bosome-mapping data to identify lncRNAs of Caenorhabditis elegans. We found 170 long intervening ncRNAs (lincRNAs), which had single- or multiexonic structures that did not overlap protein-coding transcripts, and about sixty antisense lncRNAs (ancRNAs), which were complementary to protein-coding transcripts
We introduce an approach to predict spliced lncRNAs in vertebrate genomes combining comparative genomics and machine learning.
Owing to similar alternative splicing pattern to mRNAs, the concept of lncRNA genes was put forward to help systematic understanding of lncRNAs.
Our synthesis of recent studies suggests that neither size, presence of a poly-A tail, splicing, direction of transcription, nor strand specificity are of importance to lncRNA function.
",Are long non coding RNAs spliced?,Long non coding RNAs appear to be spliced through the same pathway as the mRNAs,yes,yesno
"Osteoprotegerin (OPG) is a soluble secreted factor that acts as a decoy receptor for receptor activator of NF-κB ligand (RANKL)
Osteoprotegerin (OPG) is a secreted glycoprotein and a member of the tumor necrosis factor receptor superfamily. It usually functions in bone remodeling, by inhibiting osteoclastogenesis through interaction with a receptor activator of the nuclear factor κB (RANKL).
e RANKL/OPG ratio secreted by osteoblasts increased and RANK expression by osteoclasts increased, leading to increased osteoclastogenesis
Osteoprotegerin (OPG) is an essential secreted protein in bone turnover due to its role as a decoy receptor for the Receptor Activator of Nuclear Factor-kB ligand (RANKL) in the osteoclasts, thus inhibiting their differentiation
We identify a TNFSF11 transcript variant that extends the originally identified transcript encoding secreted RANKL.
Activated human T cells express alternative mRNA transcripts encoding a secreted form of RANKL.
OPG, on the other hand, is secreted by osteoblast as a decoy receptor for RANKL, prevents RANKL from binding to RANK and thus prevents bone resorption
Receptor activator of nuclear factor κB ligand (RANKL) and osteoprotegerin (OPG) are cytokines predominantly secreted by osteoblasts and play a central role in differentiation and functional activation of osteoclasts
Although B. abortus-activated T cells actively secreted the pro-osteoclastogenic cytokines RANKL and IL-17, osteoclastogenesis depended on IL-17, because osteoclast generation induced by Brucella-activated T cells was completely abrogated when these cells were cultured with BMMs from IL-17 receptor knockout mice.
osteoclastogenesis and bone destruction in autoimmune arthritis. We isolated human fibroblasts from RA, pyrophosphate arthropathy (PPA) and osteoarthritis (OA) patients and analyzed their RANKL/OPG expression profile and the capacity of their secreted factors to induce osteoclastogenesis.
Osteoprotegerin (OPG) and receptor activator of nuclear factor κB ligand (RANKL) are cytokines predominantly secreted by osteoblasts and play critical roles in the differentiation and function of osteoclasts.
",Is RANKL secreted from the cells?,Receptor activator of nuclear factor κB ligand (RANKL) is a cytokine predominantly secreted by osteoblasts.,yes,yesno
"LT4 absorption is unchanged by concomitant metformin ingestion.
It has been hypothesized that metformin may suppress serum thyrotropin (TSH) concentrations by enhancing LT4 absorption or by directly affecting the hypothalamic-pituitary axis.
",Does metformin interfere thyroxine absorption?,No. There are not reported data indicating that metformin reduce with thyroxine absorption.,no,yesno
"Finally, five promising differentially miRNAs (miR-200a, miR-100, miR-141, miR-200b, and miR-200c) were reported with the consistent direction in four or more studies. MiR-200a, miR-200b, miR-200c, and miR-141, all of them belong to miR-200 family, were reported with consistently up-regulated in at least 4 studies, whereas miR-100 was reported with down-regulated in 4 studies
Upregulation of microRNA-203 is associated with advanced tumor progression and poor prognosis in epithelial ovarian cancer
multivariate analysis showed that the status of miR-203 expression was an independent predictor for both overall survival and progression-free survival in EOC. These findings provide the convincing evidence for the first time that the upregulation of miR-203 may serve as a novel molecular marker to predict the aggressive tumor progression and unfavorable prognosis of EOC patients
Some, but not all, of the data indicated that the miR-200 family was dysregulated in a variety of malignancies. In this study, we demonstrated that miR-200a and E-cadherin were significantly upregulated in EOC compared to benign epithelial ovarian cysts and normal ovarian tissues
There was a significantly positive correlation between miR-200a and E-cadherin in EOC. The biphasic expression pattern suggested that miR-200a levels may serve as novel biomarkers for the early detection of EOC, and miR-200a and E-cadherin are candidate targets for the development of new treatment modalities against ovarian cancer
Kaplan-Meier analysis showed low miR-510 expression, low miR-509-5p expression, and advanced FIGO stage, and chemotherapy resistance were significantly associated with poorer overall survival (P < 0.05). Our results suggest that miRNAs may play a role in the progression of OSC, and miR-510 and miR-509-5p may be considered novel-candidate clinical biomarkers for predicting OSC outcome
The qRT-PCR results showed that miR-510, miR-509-5p, and miR-508-3p were significantly downregulated and that miR-483-5p was upregulated in stage III OSC compared with stage I, which was consistent with the microarray results
In this study, we examined serum miR-21 levels in epithelial ovarian cancer (EOC) patients, and explored its association with clinicopathological factors and prognosis. The results showed significantly higher serum miR-21 levels in EOC patients than in healthy controls. In addition, increased serum miR-21 expression was correlated with advanced FIGO stage, high tumor grade, and shortened overall survival. These findings indicate that serum miR-21 may serve as a novel diagnostic and prognostic marker, and be used as a therapeutic target for the treatment of EOC
Identification of serum microRNA-21 as a biomarker for early detection and prognosis in human epithelial ovarian cancer
Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer.
Among the miRNAs that showed a consistent regulation tendency through all specimens and showed more than a 2-fold difference in serum, 5 miRNAs (miR-132, miR-26a, let-7b, miR-145, and miR-143) were determined as the 5 most markedly down-regulated miRNAs in the serum from ovarian cancer patients with respect to those of controls. Four miRNAs (miR-132, miR-26a, let-7b, and miR-145) out of 5 selected miRNAs were significantly underexpressed in the serum of ovarian cancer patients in qRT-PCR
microRNA (miR)-182, miR-200a, miR-200b and miR-200c were highly overexpressed in the SEOC cell lines relative to normal human ovarian surface epithelial cells and were assessed in RNA extracted from serum as candidate biomarkers
Together, these results suggest that low miR-100 expression             may be an independent poor prognostic factor and miR-100 can function as a tumor             suppressor by targeting PLK1 in human EOCs
Prognostic implications of microRNA-100 and its functional roles in             human epithelial ovarian cancer
Taken together, miR-152 and miR-148a may be involved             in the carcinogenesis of ovarian cancer through deregulation of cell proliferation.             They may be novel biomarkers for early detection or therapeutic targets of ovarian             cancer
MicroRNA let-7a: a potential marker for selection of paclitaxel in ovarian cancer management
The study suggests that the beneficial impact of the addition of paclitaxel on EOC survival was significantly linked to let-7a levels, and that miRNAs such as let-7a may be a useful marker for selection of chemotherapeutic agents in EOC management
miR-200c has potential as a predictor of survival, and is a biomarker of relapse, in stage I EOC
MicroRNA microarray identifies Let-7i as a novel biomarker and therapeutic target in human epithelial ovarian cancer
our results strongly suggest that let-7i might be used as a therapeutic target to modulate platinum-based chemotherapy and as a biomarker to predict chemotherapy response and survival in patients with ovarian cancer
miRNAs-21, 92 and 93 are known oncogenes with therapeutic and biomarker potential
Serum miR-132, miR-26a, let-7b, and miR-145 could be considered as potential candidates as novel biomarkers in serous ovarian cancer
",Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,"miR-200a, miR-100, miR-141, miR-200b, miR-200c, miR-203, miR-510, miR-509-5p, miR-132, miR-26a, let-7b, miR-145, miR-182, miR-152, miR-148a, let-7a, let-7i, miR-21, miR-92 and miR-93 could be used as potential biomarkers for epithelial ovarian cancer.",let-7a | let-7b | let-7i | miR-21 | miR-26a | miR-92 | miR-93 | miR-100 | miR-132 | miR-141 | miR-145 | miR-148a | miR-152 | miR-182 | miR-200a | miR-200b | miR-200c | miR-203 | miR-509-5p | miR-510,list
"Pyridostigmine is the most widely used acetylcholinesterase inhibitor.
For more than 50 years the acetylcholinesterase inhibitor pyridostigmine bromide has been the drug of choice in the symptomatic therapy for myasthenia gravis.
The switch to SR-Pyr ameliorated the total quantified myasthenia gravis (QMG) score from 0.9 ± 0.5 to 0.6 ± 0.4 (p<0.001) in all patients and in the younger subgroup. This was accompanied by a significant improvement in the quality of life parameters. The health status valued by EuroQoL questionnaire improved from 0.626 ± 0.286 to 0.782 ± 0.186 (p<0.001).
Our results support the usefulness of SR-Pyr in an individualized therapeutic regimen to improve quality of life regardless of the patient's age in myasthenia gravis.
This review focuses on treatment of MG, mainly on the use of the AChE inhibitor pyridostigmine.
Despite a lack of data from well controlled clinical trials to support their use, AChE inhibitors, of which pyridostigmine is the most commonly used, are recommended as first-line therapy for MG.
Novel AChE inhibitors with oral antisense oligonucleotides have been developed and preliminary results appear to be promising.
Except for one small and inconclusive trial of intranasal neostigmine, no randomised controlled trial has been conducted on the use of acetylcholinesterase inhibitors in myasthenia gravis. Response to acetylcholinesterase inhibitors in observational studies is so clear that a randomised controlled trial depriving participants in the placebo arm of treatment would be difficult to justify.
Current guidelines and recommendations for MG treatment are based largely on clinical experience, retrospective analyses and expert consensus. Available therapies include oral acetylcholinesterase (AChE) inhibitors for symptomatic treatment, and short- and long-term disease-modifying treatments.
Pyridostigmine has been used as a treatment for MG for over 50 years and is generally considered safe. It is suitable as a long-term treatment in patients with generalized non-progressive milder disease, and as an adjunctive therapy in patients with severe disease who are also receiving immunotherapy.
Acetylcholinesterase inhibitors provide temporary, symptomatic treatment for all forms of myasthenia gravis.
",Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?,Pyridostigmine and neostygmine are acetylcholinesterase inhibitors that are used as first-line therapy for symptomatic treatment of myasthenia gravis. Pyridostigmine is the most widely used acetylcholinesterase inhibitor. Extended release pyridotsygmine and novel acetylcholinesterase inhibitors inhibitors with oral antisense oligonucleotides are being studied.,neostigmine | pyridostigmine,list
"Denosumab is a RANK-ligand antibody that was approved by the FDA in 2010 for the prevention of skeletal fractures in patients with bone metastases from solid tumors.
The authors present the imaging findings and technical report of an attempted percutaneous vertebroplasty in the only patient found to be actively under treatment with denosumab after a retrospective review of the databank of patients with pathological fractures referred to the Department Radiology of the Ohio State University for percutaneous vertebroplasty (a total sample of 20 patients) since the FDA approval of denosumab (November 2010) until June of 2013 (a 30-month period).
On the basis of this data, the FDA approved denosumab for the treatment of patients whose GCTB is unresectable, or when surgery is likely to result in severe morbidity.
Denosumab (Prolia®) is a fully human monoclonal antibody for RANKL, which selectively inhibits osteoclastogenesis, being recently approved for the treatment of postmenopausal osteoporosis in women at a high or increased risk of fracture by the FDA in the United Sates and by the European Medicines Agency in Europe since June 2010.
Recent phase II clinical trials with denosumab in skeletally mature adolescents over age 12 years and adults with GCTB, have shown both safety and efficacy, leading to its accelerated US FDA approval on 13 June 2013.
Zoledronic acid (ZA), an intravenously administered bisphosphonate, and Denosumab, a subcutaneously administered inhibitor of nuclear factor B ligand (RANKL), have already been approved by Food and Drug Administration (FDA) for their use in treatment of bone metastases.
These results led to the approval of denosumab by the European Medicines Agency (EMA) and the US Food and Drug Administration (FDA), for the prevention of SREs in adults with bone metastases from solid tumors, including breast cancer.
Alendronate, risedronate, zoledronic acid, denosumab, and teriparatide are Food and Drug Administration (FDA)-approved therapeutic options.
Several of these therapies have recently been approved by the FDA to treat bone cancer pain (bisphosphonates, denosumab) and others are currently being evaluated in human clinical trials (tanezumab).
A fourth agent, denosumab (bone targeted therapy) was also recently approved by the FDA for patients with bone metastasis after showing a reduction in the occurrence of skeletal-related events.
AHRQ published an updated review in March 2012 that summarized the benefits and risks of osteoporosis medications in treatment and prevention of osteoporosis, including bisphosphonates (aledronate, risedronate, ibandronate, zoledronic acid), parathyroid hormone, teriparatide, calcitonin, estrogens (for prevention in postmenopausal women), selective estrogen receptor modulators (raloxifene), and denosumab(approved by the FDA in 2010).
Four new drugs have received U.S. Food and Drug Administration (FDA)-approval in 2010 and 2011: sipuleucel-T, an immunotherapeutic agent; cabazitaxel, a novel microtubule inhibitor; abiraterone acetate, a new androgen biosynthesis inhibitor; and denosumab, a bone-targeting agent.
Recently, the US FDA and the EMA approved denosumab (a fully human monoclonal antibody) to treat skeletal-related events in bone-metastatic prostate cancer.
In addition to these new and emerging therapeutic agents, denosumab was approved for the prevention of skeletal complications in patients with bone metastases due to solid tumor malignancies, providing an alternative to zoledronic acid.
Recently, denosumab was FDA-approved for prevention of SREs in patients with bone metastases from solid tumors.
In the 2010s to date, an additional 3 antibodies (denosumab, belimumab, ipilimumab) have been approved and one antibody-drug conjugate (brentuximab vedotin) is undergoing regulatory review and may be approved in the US by August 30, 2011.
We also review the evidence supporting the FDA's approval of denosumab (bone-targeted therapy) as a treatment option for men with CRPC and bony metastases.
It has been approved for clinical use by the FDA in the US and by the European Medicines Agency in Europe since June 2010 (trade name Prolia(™), Amgen, Thousand Oaks, CA, USA).
The fully human monoclonal antibody denosumab (Prolia(®)) has been recently approved by the European Medical Agency (EMEA) and the Food and Drug Administration (FDA) for the treatment of postmenopausal osteoporosis.
Raloxifene and denosumab are only FDA approved for postmenopausal osteoporosis.
The new antiresorptive drug, denosumab, although FDA-approved only for postmenopausal women, has been shown in a study of men on ADT to increase bone density in spine, hip, and forearm and decrease vertebral fractures on x-ray.
Since then, an additional six human mAbs have received FDA approval: panitumumab, golimumab, canakinumab, ustekinumab, ofatumumab and denosumab.
",Has Denosumab (Prolia) been approved by FDA?,"Yes, Denosumab was approved by the FDA in 2010.",yes,yesno
"Dishevelled (Dvl/Dsh) is a multi-module protein and a key regulator of both the canonical Wnt and the PCP pathway. In mouse, all Dvl1(-/-) ; Dvl2(-/-) double mutants display craniorachischisis, a severe form of open NTDs.
In this study, we explore the cause of HSCR by studying the expression of DVL-1 and DVL-3 genes and their proteins in the aganglionic segment and the ganglionic segment of colon in HSCR patients.
Dishevelled (Dvl) proteins are key transducers of Wnt signaling encoded by members of a multi-gene family in vertebrates. We report here the divergent, tissue-specific expression patterns for all three Dvl genes in Xenopus embryos, which contrast dramatically with their expression patterns in mice.
velopmental processes, including segmentation and neuroblast specification. We have isolated and characterized cDNA clones from two different human dsh-homologous genes, designated as DVL-1 and DVL-3.
In the Drosophila embryo dishevelled (dsh) function is required by target cells in order to respond to wingless (wg, the homolog of Wnt-1), demonstrating a role for dsh in Wnt signal transduction. We have isolated a mouse homolog of the Drosophila dsh segment polarity gene. The 695-amino-acid protein encoded by the mouse dishevelled gene (Dvl-1) shares 50% identity (65% similarity) with dsh.
The Dvl-1 gene on chromosome 1p36 belongs to a family of highly conserved secreted proteins which regulates embryonic induction, generation of cell polarity and specification of cell fate through activation of Wnt signaling pathways. Wnt signaling activates the gene encoding DVL-1;
We report here that the mouse Dishevelled-1 (Dvl-1) and Dishevelled-2 genes encode proteins that are differentially localized in Wnt-overexpressing PC12 cell lines (PC12/Wnt).
Recently, the DVL1 gene was identified as a middle molecule of the Wnt/beta-catenin signaling pathway.
",List the human genes encoding for the dishevelled proteins?,"DVL-1
DVL-2
DVL-3",DVL-1 | DVL-2 | DVL-3,list
